丽江	玉龙雪山,龙泉寺,丽江古城,束河古镇,木府	牦牛肉,洋芋鸡,丽江雪桃,牦牛酸奶,松菌	茶马古道,火把节,纳西族,丽江木氏土司,印象·丽江
甘孜	泸定桥,甘孜寺,塔公寺,白利寺,长青春科尔寺	金丝毛,团结包子,水淘糌粑,康定凉粉,花馍馍	满金寺,协庆寺,竹庆寺,汤东杰布,灵雀寺
阿坝	九寨沟国家级自然保护区,四川九寨沟风景名胜区,卧龙国家级自然保护区,五彩池,三奥雪山	咂酒,阿坝苹果,金川雪梨,阿坝蜜蜂,卡子核桃	各莫寺,扎崇节,赏花节,藏巴拉节,雪梨节
临沂	王羲之故居,沂蒙山,沂河,临沂市图书馆,云蒙湖	糁汤,煎饼卷大葱,锅饼,临沂糁,马头烤牌	郯城木版年画,孙膑兵法,临沂模式,郯城挂门笺,临沭柳编
沧州	文庙,清真寺,清风楼,人民公园,白洋淀景区	宫面,驴肉火烧,金丝小枣,沧州火锅鸡,火锅鸡	河北梆子,武术之乡,泊头火柴,沧州武术,镖不喊沧州
南通	濠河风景区,濠河,狼山,沈星,南通海底世界	刀鱼,麻饼,文蛤,西亭脆饼,醉泥螺	僮子戏,海安花鼓,沈绣,南通话,蓝印花布
衡阳	衡山,石鼓书院,南岳大庙,蔡伦纪念园,印山	糯米鸡,黄花菜,酥薄月饼,衡东土菜,耒阳粉皮	湘剧,黄梅戏,花鼓戏,祁剧,衡山影子戏
焦作	青天河,云台山,净影寺,焦作影视城,神农山	松花蛋,烙馍,武陟油茶,闹汤驴肉,许良扯面	怀川话,四大怀药,陈氏太极拳,月山八极拳,怀梆
德阳	文庙,三星堆博物馆,白马关,蓥华山,云湖国家森林公园	松花蛋,甜水面,中江挂面,什邡板鸭,罗江豆鸡	川剧,绵竹年画,德阳灯会,四川皮影,德阳潮扇
秦皇岛	南戴河国际娱乐中心,山海关,昌黎黄金海岸,鸽子窝公园,老龙头	煎饼合子,四条包子,晓晓炸排骨,烤大虾,长城饽椤饼	东北官话,昌黎地秧歌,抚宁吹歌,长锦小片
宜昌	长江三峡,昭君故里,三峡大瀑布,三峡人家风景区,清江画廊风景区	凉虾,红油小面,霉豆腐,榨广椒,萝卜饺子	中国长江三峡国际旅游节,屈家岭文化遗址,巴文化,屈原故里端午习俗,楚文化
淮安	京杭大运河,洪泽湖,周恩来故居,明祖陵,河下古镇	狮子头,淮扬菜,活珠子,大煮干丝,平桥豆腐	淮海戏,淮剧,楚汉文化,运河文化,青莲岗文化
安康	太极城,瀛湖,南宫山,鬼谷岭国家森林公园,燕翔洞	蒸面,浆水面,麻辣烫,炕炕馍,酸菜面	汉剧,汉阴油菜花节,汉水文化,紫阳民歌,安康龙舟赛
合川	钓鱼城,合川钓鱼城,石照县衙,王坚记功碑,云门山	合川桃片,合川肉片,合川桃片烧白,合川鱼片	巴文化,马门溪龙,宋蒙钓鱼城之战
聊城	山陕会馆,景阳冈,曹植墓,江北水城,东昌湖	油泼鸡,沙镇呱嗒,东阿阿胶,八批果子,冠县鸭梨	查拳,聊城杂技,中国运河文化博物馆,茌平剪纸,聊城雕刻葫芦
汕头	中山公园,南澳岛旅游区,汕头北回归线标志塔,汕头海湾大桥,汕头市小公园	肠粉,糖葱薄饼,牛肉丸,蚝烙,汕头粿条汤	潮汕功夫茶,潮汕小吃,汕头图书馆,潮汕赋,潮菜
南充	阆中古城,凌云山,西山,升钟湖,朱德故居纪念馆	川北凉粉,米粉,顺庆羊肉粉,张飞牛肉,南充冬菜	丝绸,川剧,四川话,三国文化节,四川清音
绵阳	圣水寺,窦圌山,富乐山,越王楼,七曲山大庙	绵阳米粉,廖排骨,梓潼片粉,梓潼酥饼,镶碗	川剧,四川麻将,九斗碗,羌族祭山会,四川清音
莱芜	莱芜战役纪念馆,雪野旅游区,雪野湖,云台山,莱芜九龙大峡谷	煎饼,豆腐箱,热豆腐,莱芜炒鸡,口镇方火烧	长勺之战,莱芜梆子,莱芜战役,中国国际航空体育节,莱芜锡雕
荆门	纪山寺,屈家岭文化遗址,纪山,明显陵,楚国古墓群	五香豆腐干,钟祥米茶,盘龙菜,长湖鱼糕,纪山龙米	荆门油菜花旅游节,钟祥长寿文化旅游节,阳春白雪,下里巴人,朱厚熜
台州	净土寺塔,天台山,天湖景区,济公故居,琼台仙谷	青团,咸饭,麦油脂,糟羹,麦虾	越剧,吴语,临海词调,抬阁,大田板龙
南阳	南阳府衙,武侯祠,内乡县衙,医圣祠,商圣苑	胡辣汤,锅盔,赊店老酒,西峡香菇酱,仲景香菇酱	南阳烙画,中国南阳张仲景医药科技文化节,玉雕,黄石砚,新野猴戏
咸宁	九宫山,富水湖,山湖温泉,崇阳县图书馆,咸宁温泉	热干面,通山包坨,肉糕,宝塔肉,甑蒸糕	提琴戏,崇阳花鼓戏,湖北高腔,赤壁脚盆鼓,通山山歌
安庆	天柱山,振风塔,小孤山,菱湖风景区,迎江寺	胡玉美蚕豆辣酱,墨子酥,江毛水饺,岳西茯苓,天柱剑毫	黄梅戏,徽剧,四大徽班,桐城文派,皖派
惠州	惠州西湖,罗浮山,合江楼,惠东港口海龟国家级自然保护区,平海古城	梅菜扣肉,酿豆腐,横沥汤粉,客家菜,龙门米粉	四东文化,客家语,惠东渔歌,龙形拳,客家文化
柳州	文庙,龙潭公园,柳侯公园,三江鼓楼,柳侯祠	白切鸡,螺蛳粉,马蹄糕,粉饺,云片糕	客家语,柳州山歌,侗族大歌,侗族木构建筑营造技艺,侗戏
舟山	普陀山风景名胜区,桃花岛,情人岛景区,嵊泗列岛风景名胜区,三星国际灯塔	酒酿圆子,青团,虾干,大烤目鱼,黄鱼鲞	吴语,观音传说,舟山贝雕,舟山走书,潮魂
赤峰	克什克腾大草原,大明塔,喀喇沁亲王府,喀喇沁旗美林谷滑雪场,乌兰布统古战场	锅包肉,荞面饸饹,锅贴,手把肉,赤峰对夹	红山文化,巴林石
万州	潭獐峡,太白岩,青龙瀑布,万州海洋馆,天生城	万州烤鱼,小面,万州格格,万州古红桔,杂酱面	三峡移民文化节,万州话
青州	仰天山国家森林公园,云门山,黄花溪,范公亭公园,云门山风景区	白肉血肠,杠子头火烧,酸汤子,弥河银瓜,庙子全羊	赵秉忠状元卷,青州花卉博览会,第七届中国花博会,挫琴,花毽
泰安	泰山,东平湖,泰山方特欢乐世界,太阳部落,中华泰山·封禅大典	肥城桃,范镇火烧,东平湖鲤鱼,泰安煎饼,天宝樱桃	石敢当,豫剧,泰山文化,山东梆子,吕剧
淄博	蒲松龄故居,齐国历史博物馆,周村古商城,玉黛湖生态乡村庄园,中国陶瓷馆	糖醋鲤鱼,,豆腐箱,淄川肉烧饼,周村烧饼	杜丽,鲁菜,足球起源地,齐文化,建筑之乡
莆田	光孝寺,湄洲岛,九鲤湖,菜溪岩,湄洲妈祖祖庙	棒棒鸡,荔枝肉,佛跳墙,莆田卤面,莆田煎包	妈祖文化,莆田话,莆仙戏,红砖厝,妈祖阁
西双版纳	雨林谷,野象谷,西双版纳原始森林公园,傣族园,独树成林	香茅草烤鱼,菠萝饭,香竹饭,撒撇,酸笋煮鸡	傣族,开门节,傣族泼水节,傣家竹楼,拉祜族
开封	包公祠,清明上河园,铁塔公园,龙亭公园,开封府	胡辣汤,清汤东坡肉,烩面,羊肉汤,桶子鸡	麒麟舞,七朝古都,开封有个包青天,城摞城,汴绣
邢台	九龙峡,华夏张氏祖庭,北武当山,清风楼,崆山白云洞	巨鹿枸杞,南宫熏菜,威县火烧,三白西瓜,富岗苹果	抬阁,七夕节,邢窑,柏乡汉牡丹花会,梅花拳
信阳	九华山,鸡公山国家级自然保护区,南湾湖,龟山,灵山寺	胡辣汤,麻辣烫,信阳热干面,大肠汤,信阳烤鱼	信阳毛尖,信阳方言,罗山皮影,固始根亲文化节,豫南花鼓戏
湖州	莫干山,竹博园,太湖旅游度假区,下渚湖,新市古镇	干挑面,湖州大馄饨,玫瑰酥糖,千张包,菱湖雪饺	越剧,吴语,滩簧,湖笔,百叶龙
六盘水	坡上草原风景名胜区,六盘水明湖湿地公园,六盘水月照机场,韭菜坪景区,盘县丹霞山	烙锅,羊肉粉,水城羊肉粉,锣锅,荷叶糯米鸡	彝族火把节,彝族,跳花节,凉都六盘水,六枝特区
阜阳	颍州西湖,文峰塔,文峰公园,奎星楼,迪沟生态旅游风景区	油茶,锅贴,格拉条,撒汤,水煎包	中原官话,花鼓灯,民间小调,临泉杂技,阜南柳编
威海	刘公岛,银滩,幸福门,鸡鸣岛,甲午海战纪念馆	坛子肉,鲅鱼饺子,乳山喜饼,葱烧海参,熏鲅鱼	海草房,威海人居节,乳山大秧歌,昆嵛山樱桃节,祭海
汉中	天台山,樱桃沟,圣水寺,褒斜道,勉县武侯墓	汉中面皮,宁强核桃馍,上元观红豆腐,汉中梆梆面,西乡牛肉干	社火,汉语,汉调桄桄,汉王,汉服
承德	承德避暑山庄,坝上草原,鸡冠山,金山岭长城,董存瑞烈士陵园	荞面饸饹,莜面,满汉全席,平泉羊汤,山楂糕	红山文化,承德剪纸,滕氏布糊画,还珠格格,承德木雕
岳阳	洞庭湖,岳阳楼,君山岛,汴河街,金鹗山公园	虾饼,米粉,平江酱干,巴陵全鱼席,兰花萝卜	客家语,赣语,皮影戏,湘语,花鼓戏
潍坊	超然台,沂山风景区,富华游乐园,潍坊世界风筝博物馆,十笏园	肉火烧,潍县萝卜,朝天锅,杠子头火烧,和乐	风筝节,潍坊国际风筝节,赵秉忠状元卷,杨家埠木版年画,龙头蜈蚣
晋江	安平桥,紫帽山,草庵,晋江世纪公园,灵源寺	土笋冻,壶仔饭,深沪鱼丸,绿豆饼,衙口花生	中国鞋都,世界夹克之都,中国陶瓷重镇,中国纺织产业基地,晋江商人
三亚	清补凉,天涯海角,亚龙湾海底世界,雨林谷,蜈支洲岛	东坡饼,椰子饭,海南粉,海南煎粽,神秘果	闽南语,钻木取火,圣纪节,南山佛教文化苑,船形屋
宁波	五龙潭,天宁寺,溪口风景区,天一阁,蒋氏故居	酒酿圆子,青团,宁波汤圆,小笼馒头,猪油汤团	越剧,吴语,舞狮,阳明学派,甬剧
台北	国父纪念馆,台北故宫博物院,台北101,诚品书店,西门町	小笼包,卤肉饭,珍珠奶茶,蚵仔煎,肉圆	妈祖,林志玲,歌仔戏,原住民,祖灵祭
澳门	国父纪念馆,大三巴牌坊,澳门旅游塔,威尼斯人度假村,金莲花广场	葡式蛋挞,猪扒包,木糠布甸,水蟹粥,马介休	妈祖文化,七子之歌,澳门科技大学,澳门艺术节,赌城
长春	般若寺,净月潭,南湖公园,长影世纪城,伪满皇宫	锅包肉,雪衣豆沙,熏肉大饼,朝鲜冷面,酱骨头	文庙,长春国际电影节,长春汽博会,长春农博会,二人转
福州	林则徐纪念馆,文庙,西湖公园,华林寺,三坊七巷	鱼丸,荔枝肉,红烧肉,佛跳墙,福州鱼丸	闽语,寿山石雕,拗九节,福州软木画,闽剧
贵阳	黄果树瀑布,青岩古镇,甲秀楼,息烽温泉,南江大峡谷	酸菜鱼,辣子鸡,宫保鸡丁,丝娃娃,黄粑	刺绣,地戏,跳场,花灯戏,四月八
南宁	青秀山,南宁大桥,加勒比水上世界,广西民族博物馆,芦圩古镇	肠粉,老友粉,肉粽,鱼头豆腐,	壮锦,南宁国际民歌艺术节,歌圩,高脚球,邕剧
长沙	世界之窗,岳麓山,橘子洲,岳麓书院,湘江	辣椒炒肉,口味虾,糖油粑粑,长沙臭豆腐,臭豆腐	湘剧,越剧,刘少奇,胡耀邦,谭嗣同
杭州	西湖,苏堤,苏东坡纪念馆,三潭印月,京杭大运河	东坡肉,小笼包,酒酿圆子,知味小笼,西湖醋鱼	五芳斋,越剧,吴语,西湖龙井,西湖绸伞
南昌	鄱阳湖,滕王阁,安义县,南昌之星,秋水广场	南昌米粉,瓦罐汤,藜蒿炒腊肉,白糖糕,鄱阳湖狮子头	赣语,八一南昌起义,昌大南疆,绳金塔庙会,鄱阳湖螃蟹节
乌鲁木齐	天山,五彩湾,南山牧场,博格达峰,乌鲁木齐人民公园	烤羊肉串,拉条子,丸子汤,馕,新疆大盘鸡	丝绸之路,达瓦孜,姑娘追,叼羊,花帽
呼和浩特	清真大寺,内蒙古博物院,昭君墓,大召寺,大青山野生动物园	手抓羊肉,烤全羊,奶茶,莜面,焖面	蒙古语,二人台,马头琴,那达慕,昭君文化节
拉萨	布达拉宫,纳木错,大昭寺,德宗温泉,拉萨河	牦牛肉,酸奶,酥油茶,青稞酒,糌粑	雪顿节,锅庄舞,沐浴节,藏语,赛马节
天津	鼓楼,望海楼,天津之眼,五大道,梁启超故居	豆腐脑,煎饼果子,津味嘎巴菜,狗不理包子,耳朵眼炸糕	天津泥人张,杨柳青年画,天津快板,天津卫,铁片大鼓
西安	鼓楼,大雁塔,西安城墙,陕西历史博物馆,华清池	胡辣汤,锅盔,臊子面,腊汁肉夹馍,羊肉泡馍	秦腔,皮影戏,长安画派,半坡文化,关中皮影
香港	香港杜莎夫人蜡像馆,维多利亚港,黄大仙,香港海洋公园,香港文华东方酒店	双皮奶,钵仔糕,港式甜品,杨枝甘露,鱼蛋	粤语,金针奖,天坛大佛,香港电影金像奖,黄家强
沈阳	张氏帅府,太清宫,般若寺,新乐遗址,汗王宫	锅包肉,鹿鸣春,羊肝羹,不老林,熏肉大饼	满融村,沈阳羽毛画,北陵公园,葫芦雕,沈阳大秧歌
石家庄	赵州桥,清凉山,世纪公园,抱犊寨,中国皮都	赵州雪花梨,赵府酥鱼,行唐大枣,宫面,饸饹	无极剪纸,辛集农民画,常山战鼓,奚派,丝弦
兰州	黄河母亲,中山桥,白塔山,五泉山,甘肃省博物馆	手抓羊肉,牛肉面,擀面皮,浆水面,羊杂碎	丝绸之路,兰州汉服雅集会,读者,兰州方言,兰州国际马拉松赛
武汉	黄鹤楼,中山公园,武汉长江大桥,户部巷,武大樱花	热干面,武昌鱼,三鲜豆皮,排骨藕汤,鸭脖子	过早,木兰传说,武汉话,汉绣,九省通衢
南京	秦淮河,鼓楼,中山陵,上新河,侵华日军南京大屠杀遇难同胞纪念馆	小笼包,鸭血粉丝汤,口味虾,龙袍蟹黄包,金陵烤鸭	吴语,南京话,高淳话,南京云锦,秦淮灯会
西宁	南禅寺,塔尔寺,小峡,日月山,东关清真大寺	酸奶,手抓羊肉,酿皮,油茶,甜醅	藏羚,皮影戏,花儿,FIRST青年电影展,新石器时代舞蹈纹彩陶盆
济南	九如山瀑布群风景区,趵突泉,大明湖,千佛山,五龙潭	糖醋鲤鱼,坛子肉,油旋,甜沫,九转大肠	济南话,龙山文化,龙山黑陶,新石器时代,鲁绣
合肥	包公祠,渡江战役纪念馆,巢湖,逍遥津,一人巷	曹操鸡,三河米饺,麻饼,烘糕,李鸿章杂烩	黄梅戏,徽剧,药王,庐剧,打香炭
广州	广州塔,珠江,白云山,长隆欢乐世界,上下九步行街	双皮奶,钵仔糕,云吞面,煲仔饭,龟苓膏	粤语,广府文化,早茶,粤菜,粤剧
海口	苏公祠,五公祠,琼山区,琼台书院,府城鼓楼	清补凉,椰子饭,四宝琼山豆腐,海南粉,猪脚饭	闽南语,妈祖文化,换花节,琼剧,军坡节
绥化	绥化西湖公园,望奎县满族风情园,金龟山庄,东富民俗园,绥化庙山	筋饼,东北民猪,烤饼	肇东国画,绥棱黑陶,庆安版画,海伦剪纸,安达奶牛
佳木斯	卧佛山滑雪场,防洪纪念塔,乌苏镇,佳木斯沿江公园,黑龙江洪河国家级自然保护区	星火大米,冷面,三花五罗,北方佳宾白酒,富锦大豆	佳木斯杏花节,佳木斯麻将,三江国际旅游节,赫哲族舞蹈,朝鲜族民俗
成都	武侯祠,天台山,青城山,宽窄巷子,西岭雪山	串串香,麻婆豆腐,担担面,龙抄手,钟水饺	要得,蜀绣,趴耳朵,雄起,八阵图
郑州	少林寺,中原福塔,嵩山,二七纪念塔,方特欢乐世界	豌豆黄,胡辣汤,烩面,羊肉汤,凉粉	豫剧,炎帝,曲剧,郑州城隍庙会,黄帝故里拜祖大典
太原	晋祠,蒙山大佛,太原八景,永祚寺双塔,龙山石窟	老陈醋,羊杂割,六味斋酱肉,清徐葡萄,头脑	清徐社火,太原锣鼓,莲花落,清徐徐沟背铁棍,清徐醋文化节
银川	水洞沟,沙湖,镇北堡影视城,贺兰山岩画,西夏王陵	手抓羊肉,酿皮,油香,烧烤,烩羊杂碎	圣纪节,穆斯林,凤凰城,宁夏银川国际黄河文化节,宁夏坐唱
青岛	中山公园,黄岛金沙滩,八大关,青岛栈桥,崂山	青岛啤酒,青岛高粱饴,辣炒花蛤,崂山绿茶,莱西大板栗	青岛国际啤酒节,青岛樱花会,青岛贝雕,即墨柳腔,胶州秧歌
齐齐哈尔	黑龙江扎龙国家级自然保护区,龙沙公园,齐齐哈尔劳动湖风景区,齐齐哈尔明月岛风景区,金长城遗址公园	齐齐哈尔杀猪菜,克东腐乳,讷河马铃薯,北大仓白酒,泰来大米	克山火山石工艺,齐齐哈尔满绣,达斡尔族刺绣,蒲艺,风刮卜奎
昆明	石林彝族自治县,翠湖,昆明世博园,海埂公园,九乡	过桥米线,小锅米线,玫瑰鲜花饼,烧饵块,干煸洋芋丝	彝族火把节,瓦猫,大观楼长联,竹雕工艺,昆明花灯
哈尔滨	圣·索菲亚教堂,中央大街,龙塔,哈尔滨防洪纪念塔,太阳岛风景名胜区	锅包肉,冰糖葫芦,哈尔滨红肠,冻柿子,杀猪菜	二人转,中国·哈尔滨冰雪大世界,看冰灯,哈尔滨冰灯游园会,俄罗斯工艺品
延安	陕西洛川黄土国家地质公园,清凉山,壶口瀑布,乾坤湾,延安革命纪念馆	荞面饸饹,擀面皮,搅团,油糕,洋芋擦擦	秦腔,安塞腰鼓,陕北窑洞,子长唢呐,信天游
无锡	南禅寺,渡江战役纪念馆,张公洞,徐霞客故居,惠山古镇	酒酿圆子,银鱼炒蛋,清炒虾仁,乌米饭,太湖银鱼	文庙,面塑,小热昏,龙舟竞渡,糖塑
重庆	长江三峡,朝天门,解放碑,酉阳桃花源,大足石刻	酸菜鱼,棒棒鸡,水煮鱼,万州烤鱼,毛血旺	重庆码头文化,梁平竹帘,棒棒儿,摆手舞,川江号子
北京	圆明园,北京故宫,天安门,后海,八达岭长城	老北京宫廷奶酪,老北京涮羊肉,北京烤鸭,老北京炸酱面,驴打滚	京剧,胡同,四合院,卖蝈蝈,烤鸭
大庆	大庆博物馆,铁人王进喜纪念馆,大庆市油田科技馆,龙凤国家湿地公园,石油之光	麻辣香锅,三花五罗,扒鸡,鲟鱼,龙江海米蕨菜	根雕,萨满剪纸,工业版画,蛋雕,蒙古族民歌
阜新	海棠山,张三丰故居,大青沟,海棠山摩崖造像,阜新万人坑死难矿工纪念馆	蒙古馅饼,喇嘛糕,花生,猫耳朵汤,三沟白酒	二人转,藏传佛教,阜新玛瑙雕,蒙古勒津刺绣,阜新蒙古剧
孝感	汤池温泉,白兆山,董永公园,双峰山风景区,古银杏国家森林公园	孝感米酒,孝感麻糖,孝感早蜜桃,二河三蒸,南乡萝卜	楚剧,杨店龙灯,黄孝片,云梦皮影,请七姐
